-DOCSTART- -X- -X- O

elasticsearch_data NN NN O
: : : O
{"judgement_text"=>"\n NN NN O
Special JJ JJ O
leave NN NN O
granted VBN VBN O
. . . O
This DT DT O
appeal NN NN O
by IN IN O
special JJ JJ O
leave NN NN O
has VBZ VBZ O
been VBN VBN O
preferred VBN VBN O
against IN IN O
the DT DT O
judgment NN NN O
dated VBD VBD O
10th CD CD I-DATE
July NNP NNP I-DATE
1990 CD CD I-DATE
of IN IN O
the DT DT O
Bombay NNP NNP O
High NNP NNP O
Court NNP NNP O
in IN IN O
Appeal NNP NNP O
No DT DT O
. . . O
423 CD CD O
of IN IN O
1987 CD CD O
. . . O
Respondent NNP NNP O
No DT DT O
. . . O
1 CD CD O
is VBZ VBZ O
a DT DT O
private JJ JJ O
limited JJ JJ O
company NN NN O
whereas IN IN O
respondents NNS NNS O
2 CD CD O
to TO TO O
4 CD CD O
are VBP VBP O
its PRP$ PRP$ O
Directors NNS NNS O
. . . O
Respondent NNP NNP O
No DT DT O
. . . O
1 CD CD O
for IN IN O
setting VBG VBG O
up RP RP O
a DT DT O
factory NN NN O
sought VBN VBN O
financial JJ JJ O
assistance NN NN O
from IN IN O
the DT DT O
appellant NN NN O
and CC CC O
the DT DT O
appellant NN NN O
sanctioned VBD VBD O
a DT DT O
loan NN NN O
of IN IN O
Rupees NNP NNP O
thirty NN NN O
lakhs NN NN O
. . . O
In IN IN O
order NN NN O
to TO TO O
secure VB VB O
the DT DT O
loan NN NN O
respondent NN NN O
No UH UH O
. . . O
1 CD CD O
executed VBD VBD O
a DT DT O
deed NN NN O
of IN IN O
mortgage NN NN O
of IN IN O
certain JJ JJ O
properties NNS NNS O
on IN IN O
29th CD CD O
June NNP NNP O
1979 CD CD O
and CC CC O
respondents NNS NNS O
2 CD CD O
to TO TO O
4 CD CD O
on IN IN O
the DT DT O
same JJ JJ O

for IN IN O
setting VBG VBG O
up RP RP O
a DT DT O
factory NN NN O
sought VBN VBN O
financial JJ JJ O
assistance NN NN O
from IN IN O
the DT DT O
appellant NN NN O
and CC CC O
the DT DT O
appellant NN NN O
sanctioned VBD VBD O
a DT DT O
loan NN NN O
of IN IN O
Rupees NNP NNP O
thirty NN NN O
